epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,50.6052,0.69698,0.77701,1.18474,0.32914,1,0.77975,0.52651,1.30639,1.29621,1.85385,0.005545,0.005545,0.005545
47,51.502,0.75366,0.71244,1.21699,0.67468,0.5,0.61475,0.4918,1.10776,2.41027,1.81647,0.005446,0.005446,0.005446
48,52.3822,0.71489,0.6837,1.19123,0.46744,1,0.84575,0.76117,0.47651,1.04621,0.87295,0.005347,0.005347,0.005347
49,53.1842,0.65108,0.71218,1.15676,0.46448,1,0.564,0.5076,0.46709,1.09188,0.92249,0.005248,0.005248,0.005248
50,54.0102,0.61499,0.69781,1.13516,0.46546,1,0.61475,0.55327,0.57895,0.91864,0.8861,0.005149,0.005149,0.005149
51,54.839,0.67706,0.68248,1.12849,0.46359,1,0.93281,0.83953,0.58939,0.93322,0.88266,0.00505,0.00505,0.00505
52,55.6658,0.66847,0.66864,1.18999,0.4654,1,0.68075,0.61267,0.48618,0.84542,0.8967,0.004951,0.004951,0.004951
53,56.4709,0.64685,0.66432,1.12584,0.46535,1,0.81731,0.73558,0.55553,0.90856,1.00953,0.004852,0.004852,0.004852
54,57.2858,0.64222,0.68315,1.15502,0.46339,1,0.93281,0.83953,0.67654,1.0212,1.1935,0.004753,0.004753,0.004753
55,58.3443,0.59546,0.68369,1.12601,0.38491,1,0.64675,0.53233,0.86695,1.06076,1.44041,0.004654,0.004654,0.004654
56,59.2002,0.64187,0.71747,1.14435,0.46536,1,0.8795,0.69205,0.98888,1.11927,1.5738,0.004555,0.004555,0.004555
57,60.016,0.64179,0.76042,1.15341,0.46456,1,0.66564,0.49425,0.91091,1.10039,1.46067,0.004456,0.004456,0.004456
58,60.9401,0.54271,0.66695,1.09339,0.46391,1,0.61475,0.51185,0.85619,1.12395,1.38479,0.004357,0.004357,0.004357
59,61.8255,0.59689,0.60356,1.10597,0.4648,1,0.764,0.62474,0.85213,1.17932,1.45971,0.004258,0.004258,0.004258
60,62.6755,0.61352,0.74549,1.13609,0.46668,1,0.874,0.69422,0.89688,1.1792,1.49026,0.004159,0.004159,0.004159
61,63.4922,0.56811,0.69064,1.12915,0.47094,1,0.9775,0.83175,0.90751,1.0769,1.43394,0.00406,0.00406,0.00406
62,64.3849,0.59223,0.70018,1.1177,0.46503,1,0.6835,0.5718,0.82295,0.9178,1.25269,0.003961,0.003961,0.003961
63,65.2634,0.56505,0.69129,1.08754,0.5,1,0.61475,0.51845,0.66489,0.91778,1.15368,0.003862,0.003862,0.003862
64,66.2972,0.57985,0.64338,1.10815,0.46611,1,0.708,0.6323,0.61656,0.87188,1.07574,0.003763,0.003763,0.003763
65,67.167,0.56439,0.67949,1.09779,0.4654,1,0.68539,0.61685,0.5924,0.91453,1.0171,0.003664,0.003664,0.003664
66,68.0016,0.58886,0.67388,1.11018,0.46399,1,0.68737,0.61864,0.53872,1.02981,0.94959,0.003565,0.003565,0.003565
67,68.8267,0.58542,0.6609,1.12912,0.47003,1,0.7695,0.6876,0.55745,0.95262,0.9994,0.003466,0.003466,0.003466
68,69.6756,0.55593,0.6731,1.08064,0.46417,1,0.81731,0.69738,0.54365,1.024,0.95689,0.003367,0.003367,0.003367
